12,13,25
6,5,11
4,15,19
6,9,15
15,9,24
12,2,14
10,2,12
11,2,13
10,6,16
4,1,5
6,19,25
10,15,25
11,15,26
10,15,25
11,19,30
11,6,17
18,5,23
13,14,27
6,19,25
9,13,22
17,16,33
5,3,8
2,8,10
10,2,12
5,16,21
7,14,21
11,4,15
13,13,26
4,10,14
14,9,23
6,11,17
18,16,34
17,6,23
4,6,10
8,17,25
16,11,27
16,11,27
3,9,12
15,7,22
13,3,16
5,9,14
10,14,24
12,17,29
14,14,28
11,1,12
10,15,25
6,1,7
8,7,15
17,8,25
6,15,21
4,5,9
13,8,21
1,16,17
17,19,36
2,4,6
18,16,34
17,11,28
4,17,21
1,4,5
4,19,23
12,10,22
14,8,22
7,1,8
5,16,21
4,16,20
12,7,19
2,18,20
18,19,37
15,3,18
13,16,29
19,14,33
13,8,21
3,13,16
18,14,32
16,11,27
6,13,19
5,6,11
4,14,18
11,6,17
1,1,2
11,2,13
16,5,21
12,11,23
15,19,34
13,5,18
2,18,20
11,8,19
1,17,18
16,7,23
5,14,19
2,11,13
19,13,32
10,18,28
2,16,18
14,4,18
9,9,18
2,13,15
5,18,23
18,9,27
15,11,26
18,19,37
2,12,14
9,8,17
3,17,20
6,6,12
18,5,23
1,7,8
18,19,37
2,3,5
14,14,28
9,18,27
5,9,14
16,12,28
16,17,33
3,2,5
19,8,27
11,14,25
16,3,19
10,8,18
5,3,8
15,5,20
11,8,19
6,5,11
8,15,23
15,5,20
16,15,31
14,2,16
2,19,21
14,12,26
16,16,32
12,5,17
15,4,19
7,11,18
13,7,20
10,15,25
10,14,24
18,12,30
19,5,24
8,16,24
4,12,16
5,1,6
3,17,20
6,4,10
13,10,23
12,16,28
8,17,25
11,8,19
11,10,21
10,7,17
1,15,16
11,2,13
6,19,25
15,2,17
17,3,20
2,16,18
11,18,29
9,5,14
12,11,23
3,17,20
17,4,21
17,4,21
14,13,27
8,13,21
3,10,13
1,9,10
15,1,16
15,8,23
1,3,4
15,4,19
3,4,7
6,11,17
8,15,23
5,10,15
8,7,15
16,1,17
8,12,20
10,17,27
17,8,25
8,12,20
12,2,14
18,8,26
3,12,15
2,11,13
3,1,4
4,9,13
15,18,33
15,13,28
17,7,24
15,18,33
8,17,25
6,15,21
13,1,14
2,4,6
11,18,29
10,13,23
15,4,19
12,1,13
6,18,24
9,15,24
14,14,28
8,7,15
4,7,11
5,9,14
16,16,32
19,11,30
12,9,21
4,14,18
16,3,19
14,2,16
11,18,29
19,4,23
11,10,21
14,12,26
7,14,21
8,19,27
18,1,19
4,14,18
10,18,28
12,6,18
16,13,29
7,15,22
19,19,38
2,6,8
19,17,36
5,3,8
5,7,12
5,15,20
14,4,18
16,13,29
13,12,25
2,2,4
8,1,9
13,12,25
5,10,15
4,17,21
11,8,19
6,17,23
12,5,17
5,11,16
9,9,18
12,9,21
10,6,16
15,11,26
15,9,24
19,7,26
3,18,21
13,4,17
11,5,16
7,18,25
6,10,16
1,10,11
14,7,21
11,16,27
2,7,9
4,9,13
18,5,23
5,4,9
1,13,14
12,3,15
6,3,9
16,16,32
10,17,27
15,13,28
14,2,16
7,7,14
18,7,25
6,19,25
8,2,10
15,3,18
14,18,32
10,8,18
5,10,15
9,17,26
13,9,22
4,18,22
13,5,18
13,4,17
13,4,17
1,16,17
12,18,30
2,19,21
1,16,17
11,12,23
19,6,25
16,18,34
18,9,27
8,7,15
13,8,21
12,19,31
9,17,26
19,6,25
18,9,27
14,13,27
13,2,15
6,4,10
2,18,20
11,16,27
17,10,27
8,8,16
19,17,36
18,7,25
13,5,18
19,4,23
17,7,24
11,5,16
